Toidu nimi (EST),Kcal,Süsivesikud,Rasvad,Kiudained,Valgud,Vesi,Suhkrud
Greibimahl,35.7,8.30,0.100,0,0.400,91.0,8.30
Greip,33.9,8.10,0.100,1.30,0.800,90.7,6.80
Grilljuust,325,1.50,26.5,0,20.0,47.7,1.50
Grillvorst,282,10.1,21.3,0.109,12.6,53.3,1.68
Gruusia leib,222,47.0,1.19,2.50,7.04,43.2,0.280
Guajaav,35.1,8.70,0.500,3.70,0.800,89.5,4.90
Halloumi juust,294,1.90,21.9,0,22.3,48.5,1.20
Halvaa,511,39.3,31.9,4.50,19.0,8.00,34.4
Haneliha,207,0,9.48,0,30.3,58.7,0
Hanemuna,179,0.900,13.3,0,13.9,70.3,0.900
Hanerasv,898,0,99.8,0,0,0.200,0
Hapukapsas,17.2,3.87,0.200,1.70,0.900,92.8,2.00
Hapukoor 10%,118,4.10,10.00,0,3.00,82.2,4.10
Hapukoor 20%,222,3.80,21.5,0,3.30,70.9,3.80
Hapukoor 30%,291,2.70,30.0,0,2.60,64.2,2.70
Hapuoblikas,24.8,3.10,0.400,2.00,3.20,92.5,0.700
Hapupiim,52.1,4.20,2.50,0,3.20,89.4,4.20
Hatšapuri,369,25.3,25.3,1.57,10.9,36.3,1.43
Haug,112,0,0.270,0,27.4,70.7,0
Heeringas,247,0,19.0,0,19.0,49.0,0
Heik,94.0,0,0.540,0,22.3,75.4,0
Herned,72.6,14.9,0.400,5.50,5.10,78.8,2.30
Hiidlest,199,0,15.5,0,14.9,64.8,0
Hiina kapsas,20.1,3.20,0.300,0.900,1.60,94.3,2.30
Hirsijahu,347,78.9,1.70,3.50,5.80,12.4,1.70
Hirveliha,128,0,2.29,0,26.9,69.6,0
Hobuseliha,138,0,3.35,0,26.9,68.4,0
Hommikusöögihelbed,373,85.6,1.10,5.40,7.90,2.60,6.00
Hurmaa,65.9,17.3,0,3.40,0.880,81.4,13.9
Iiris,443,79.0,13.4,0,1.52,5.83,79.0
India pähklid,594,29.9,45.2,3.86,18.8,3.89,5.91
Inglise sinep,316,7.95,30.0,0.953,4.00,56.6,5.85
Ingver,34.2,6.40,0.750,2.70,1.82,90.3,1.70
Itaalia kaste,48.3,9.45,0.870,0.600,0.970,85.2,8.85
Jaanalinnumuna,126,0,9.17,0,10.8,79.1,0
Jääsalat,14.9,3.20,0.120,1.10,0.800,95.5,2.10
Jäätee,18.0,4.50,0,0,0,95.4,4.50
Jäätis,186,34.4,4.00,0,3.10,57.8,24.7
Jäätisekokteil,136,16.2,6.72,0.043,2.62,73.8,16.1
Jalapeno,25.9,4.74,0.940,2.60,0.920,88.9,2.14
Jamss,124,29.5,0.300,1.30,1.50,67.9,0.700
Jäneseliha,165,0,6.60,0,26.3,65.9,0
Jogurt,105,7.00,5.00,0,8.00,78.8,7.00
Jogurtijook,80.5,12.2,2.25,0.109,2.90,82.1,11.4
