Toidu nimi (EST),Kcal,Süsivesikud,Rasvad,Kiudained,Valgud,Vesi,Suhkrud
Pampel,46.8,13.8,0.200,3.40,1.10,84.9,5.60
Pannkoogijahu,323,68.1,1.79,4.18,10.6,15.7,6.76
Papaianektar,61.2,15.1,0.150,0.600,0.170,84.4,0
"Paprika, keskmiselt",26.8,6.40,0.200,2.30,1.000,91.9,4.00
Paradiisiõun,79.6,20.0,0.300,2.00,0.400,78.9,0
Parapähklid,686,10.00,67.1,7.50,14.3,5.20,2.30
Pardiliha,331,0.300,24.2,0,27.9,47.6,0
Pardimuna,163,0,11.8,0,14.3,72.9,0
Pärlsibulad,80.9,20.0,0.100,0,0,78.1,0
Pärm,66.0,7.30,0.400,6.20,11.4,78.5,0
Parma sink,264,0.400,18.0,0,25.0,50.6,0.350
Parmesani juust,436,0,30.0,0,41.5,21.5,0
Pärmitainas,317,56.3,7.33,3.21,8.01,27.2,8.67
Pastilaa,323,80.4,0,0.400,0.500,18.9,76.4
Pastinaak,70.2,16.4,0.600,3.80,1.70,80.4,5.60
Peakapsas,24.2,5.56,0.200,2.00,1.10,92.3,3.40
Peasalat,11.5,2.00,0.210,1.20,1.000,95.9,0.800
Peedijahu,316,83.0,1.32,34.5,10.3,1.46,47.4
Peedimahl,34.4,7.70,0,0,0.900,90.8,7.40
Peekon,691,0,64.8,0,27.0,1.55,0
Peet,41.1,9.87,0.210,2.63,1.25,87.9,7.14
Pekanipähklid,722,14.0,72.0,9.60,9.20,3.27,3.98
Pestokaste,531,2.97,55.2,1.63,5.98,32.9,0.802
"Petersell, värske",35.4,4.00,1.20,2.90,3.60,88.9,0.800
Pett,34.1,4.30,0.500,0,3.10,91.3,4.30
Philadelphia toorjuust,116,5.40,5.29,0.400,12.0,75.8,2.80
Pihlakamarjad,60.4,20.8,0,6.00,0.700,77.8,6.30
Pihvid,294,8.74,21.0,0.738,18.0,49.9,0.500
Piim,57.8,5.30,2.60,0,3.30,88.2,5.30
Piimakohv,44.9,3.97,2.03,0,2.70,90.8,3.97
Piimašokolaad,554,54.3,34.0,0.400,8.00,1.60,50.9
Piiniaseemned,665,16.1,61.9,6.30,14.0,5.48,4.85
Piparkoogimaitseaine,295,66.9,8.19,34.4,6.02,15.8,2.39
Piparkook,471,69.8,18.7,2.99,7.32,2.35,31.9
Piparmünt,67.0,14.9,0.940,8.00,3.75,78.7,0
Pirn,46.4,14.1,0,3.90,0.300,85.3,8.00
Pirnimahl,44.8,11.2,0.500,0.300,0.100,88.2,8.30
Pirnõun,40.5,11.5,0.100,1.50,0.300,88.1,7.10
Pistaatsiapähklid,599,20.8,49.7,8.69,21.3,4.06,7.11
Pita leib,212,45.3,0.792,3.02,7.51,45.1,1.18
Pitaia,62.4,14.5,0.300,1.90,1.40,83.0,12.6
Ploom,45.7,11.8,0.300,1.70,0.500,87.1,8.20
Ploomikompott,111,27.2,0.400,1.07,0.470,71.4,25.0
Ploomimoos,230,57.4,0.400,1.000,0.400,41.3,54.6
Ploominektar,52.6,13.6,0,0.850,0.250,85.9,11.6
Põdraliha,122,0,1.58,0,27.0,70.1,0
Pohlad,49.1,11.5,0.700,2.60,0.500,87.0,8.20
Pohlamoos,146,36.3,0.200,1.000,0.250,63.2,33.3
Põldmarjad,40.1,10.2,0.490,5.30,1.39,86.7,4.88
Põldoad,78.7,14.4,1.08,6.59,6.16,77.2,1.40
Pomel,39.6,9.60,0,1.000,0.800,89.1,8.60
Poolsuitsuvorst,195,0,15.0,0,15.0,67.1,0
Popkorn,452,64.8,22.1,21.9,9.40,1.50,0.400
Porgand,32.4,8.50,0.200,2.90,0.600,90.1,5.40
Porgandimahl,26.9,6.30,0.100,0.600,0.500,92.5,5.70
Porrulauk,24.0,5.11,0.200,2.71,1.80,92.3,2.40
Puding,123,16.5,4.70,0.164,3.70,74.2,13.6
Pulgakomm,432,80.6,11.1,0,2.50,4.80,0
Puljong,5.60,0.300,0.400,0,0.200,98.0,0.100
Punased sõstrad,49.2,12.5,0.400,5.00,1.40,85.2,7.50
Punasesõstramoos,217,53.5,0.400,2.00,0.800,44.8,51.5
Pune,327,68.9,10.3,42.5,11.0,1.90,3.90
Puravikud,29.6,5.60,0.600,3.30,2.10,91.3,2.00
Rääbis,112,0,4.00,0,19.0,73.6,0
Rabarber,33.3,9.30,0.100,3.80,0.700,88.4,5.50
Rabarberimoos,227,57.3,0.052,2.00,0.389,41.5,55.3
Räim,149,0,7.92,0,19.3,71.4,0
Rannakarbid,103,1.90,3.00,0,17.0,75.1,0
Rapsiõli,900,0,100.0,0,0,0,0
Rebitud kaer,199,11.8,4.40,3.70,30.0,52.0,1.20
Redis,14.9,3.50,0.100,1.60,0.800,94.9,1.70
Ricotta kohupiim,126,3.50,8.00,0,10.00,77.3,3.30
Riis,129,29.5,0.265,0.872,2.50,67.5,0.114
Riisiäädikas,30.4,7.40,0,0,0.200,92.3,0
Riisigalett,381,83.4,3.00,5.38,7.90,4.43,1.35
Riisihelbed,344,77.8,1.40,2.30,6.10,14.2,0.500
Riisijahu,362,80.2,1.30,0.800,7.70,10.3,0.500
Riisinuudlid,317,72.9,0.560,1.60,5.95,19.7,0.300
Riisitärklis,350,85.0,0.800,0,0.800,13.0,0
Riivleib,308,68.4,2.40,14.5,10.4,15.3,5.20
Riivsai,374,80.1,1.69,6.52,12.8,3.23,3.86
Rinnapiim,71.7,7.40,4.10,0,1.30,86.9,7.40
Roheline sibul,39.8,6.70,0.670,2.10,2.80,89.0,4.50
Romaani lillkapsas,33.1,6.26,0.300,3.20,2.95,89.6,3.03
Rõngasvorst,230,9.00,17.4,0.100,9.50,61.4,1.30
Rooma salat,15.3,2.70,0.260,1.30,1.20,95.3,1.40
Rooskapsas,41.6,6.90,0.500,4.10,4.50,87.0,2.12
Rosinad,283,68.7,1.000,6.10,3.00,22.8,60.1
Rosina-pähklisegu,499,39.7,34.1,7.24,11.6,11.5,26.4
Rosmariin,105,16.4,4.40,2.90,1.40,75.5,0
Rukkihelbed,288,65.9,1.50,13.9,9.60,21.5,2.40
Rukkijahu,332,75.7,1.30,9.40,9.00,13.0,0.500
Rukkikamajahu,307,70.4,1.95,18.4,11.2,14.6,1.60
Rukkikliid,281,65.0,4.30,39.0,15.0,10.2,3.00
Rukkikroovjahu,335,76.7,1.42,10.00,8.91,11.8,5.70
Rukkileib,236,53.4,1.20,6.90,6.40,37.3,8.10
Rukola,28.3,3.70,0.700,1.60,2.60,91.6,0.700
Rulaad,190,1.000,13.2,0,17.0,65.4,0.800
Rumm,234,0,0,0,0,66.6,0
Rumm koola,103,6.89,0,0.003,0.011,82.3,6.89
Safran,353,65.4,5.90,3.90,11.4,11.9,42.4
Säga,204,0,14.1,0,19.1,65.5,0
Sai,274,53.5,3.30,3.50,9.30,32.4,4.80
Salaamivorst,412,0,36.0,0,22.0,34.9,0
Šampanja,76.1,1.40,0,0,0.300,88.2,0
Šampinjonid,29.9,6.50,0.280,2.10,2.94,89.0,0.280
Sarapuupähklid,657,19.4,60.6,9.30,13.2,4.60,3.00
Sardell,262,7.50,20.5,0.100,12.0,57.2,2.40
Sardiinid,281,0,21.1,0,22.8,52.6,0
"Šašlõkk, sealihast",281,3.55,18.8,0.803,24.7,48.4,2.03
Seahakkliha,365,0,29.9,0,23.9,44.7,0
Seakamar,527,0,31.3,0,61.3,2.00,0
Seakeel,221,0,17.2,0,16.5,65.4,0
Sealiha,303,0,23.2,0,23.6,51.9,0
Seapõsk,309,0.200,28.0,0,14.0,54.7,0.100
Searasv,900,0,100.0,0,0,0,0
Searibid,125,0,8.86,0,11.4,17.1,0
Seesamiseemned,664,12.6,59.7,11.3,24.6,0.240,1.10
Seesamiseemneõli,900,0,100.0,0,0,0,0
Sefiir,322,80.1,0,0.330,0.600,19.1,79.7
Sepik,256,51.2,2.80,2.70,7.90,36.6,0.800
Serrano sink,230,0.480,12.6,0,28.7,50.9,0.330
Sibul,40,9.0,0.1,1.70,1.10,89,4.2
Sidrun,15.7,3.50,0.300,2.00,0.750,95.2,1.40
Sidrunhein,119,28.5,0.490,3.18,1.82,67.4,1.53
Sidrunikoor,65.3,16.0,0.300,3.70,1.50,81.6,0
Sidrunimahl,8.00,1.70,0,0.100,0.350,97.7,1.60
Siiamari,105,4.90,2.90,0,14.7,76.2,0
Siider,42.6,5.50,0,0,0.300,90.4,5.40
Siig,119,0,2.71,0,23.8,71.9,0
Siirup,147,36.8,0,0,0,63.1,36.8
Šiitake seened,39.3,9.07,0.420,4.62,2.52,87.0,3.33
Silm,329,0,28.6,0,17.9,51.1,0
Sinep,165,21.9,6.40,1.70,5.70,63.0,14.5
Sinepiseemned,518,28.1,36.2,12.2,26.1,5.27,6.57
Sinihallitusjuust,436,0.500,42.0,0,14.0,41.9,0
Sink,216,0,14.7,0,21.0,60.8,0
Sinkvorst,225,5.00,17.0,0,13.0,61.7,0.275
Skumbria,395,0,33.3,0,23.9,41.5,0
Skyr,64.5,4.00,0.500,0,11.0,81.5,4.00
Sojajahu,450,36.7,22.4,18.0,34.5,2.00,6.40
Sojajook,65.7,4.96,3.14,2.52,4.83,86.3,0.896
Sojakaste,54.9,3.30,0.100,0,10.2,68.6,2.30
Šokolaadi-pähklikreem,540,60.9,30.9,3.40,6.30,0.355,56.3
Šokolaadivõi,462,64.9,23.0,4.90,1.30,10.8,0
Söögisooda,0,0,0,0,0,0,0
Sool,0,0,0,0,0,0.600,0
Soolaküpsis,489,64.5,23.0,4.03,8.00,1.30,7.00
Soolakurk,10.4,1.80,0.200,1.10,0.900,93.4,0.300
Soolalõhe,165,0,9.20,0,20.6,65.6,0
Sõõrik,438,58.0,20.5,2.16,6.40,14.1,23.0
Spargel,33.0,5.59,0.600,3.50,3.10,90.2,1.90
Spinat,15.4,1.70,0.400,1.30,1.90,94.4,0.300
Sprotid,361,0,32.4,0,17.4,47.1,0
Suhkrusiirup,324,81.0,0,0,0,17.9,81.0
Suhkur,399,99.8,0,0,0,0.200,99.8
Suitsujuust,300,1.50,23.5,0,20.5,50.5,1.50
Suitsukala,174,0,9.80,0,21.5,64.8,0
Suitsuribid,306,2.01,24.0,0.807,21.0,50.2,1.20
Suitsusink,233,1.000,17.0,0,19.0,60.2,0.500
Suitsuvorst,318,3.26,27.0,0.863,16.0,50.4,1.000
Sült,53.9,0.400,1.50,0,9.70,85.9,0.100
Suvikõrvits,20.7,3.52,0.220,0.770,1.54,93.7,2.75
Tähtvili ,36.5,8.60,0.300,1.30,0.500,90.2,7.10
Taimetee,0.400,0,0,0,0.100,99.9,0
Täispiim,69.8,4.70,4.20,0,3.30,87.1,4.70
Täissuitsuvorst,406,2.01,36.6,0.110,17.1,40.2,0.600
Tarretis,59.9,13.3,0,0.012,1.72,85.0,13.2
Tatar,104,21.3,0.750,1.11,3.63,73.7,0.360
Tatragalett,344,71.8,2.90,5.90,10.5,12.5,0.600
Tatrajahu,353,68.3,3.60,3.20,13.5,12.8,0.500
Tavariisikad,16.7,2.30,0.500,1.50,1.50,95.3,0.400
Tee,0.400,0,0,0,0.100,99.9,0
Teod,93.3,1.90,2.50,0,15.8,77.4,0
Tilaapia,106,0,1.88,0,22.4,74.5,0
Till,30.6,3.40,0.800,2.50,3.70,89.6,0.800
Tofu,75.8,2.20,4.20,1.000,7.80,85.0,0.200
Toidukoor,206,4.00,20.0,0,2.50,72.9,4.00
Tomat,21.9,4.90,0.300,1.40,0.600,93.7,3.40
Tomatimahl,18.9,3.40,0.300,0.400,0.850,93.9,0
Tomatipasta,71.2,16.6,0,3.60,3.00,77.6,8.40
Tomatipüree,41.9,9.00,0.120,1.000,1.70,88.2,7.80
Toonik,35.7,8.91,0,0.007,0.030,91.0,8.90
Toorgrillvorst,398,1.50,37.5,0.250,13.8,45.1,0.875
Toorjuust,314,3.40,29.7,0,8.20,57.3,3.20
Toorsuitsuvorst,410,1.20,33.0,0,27.0,34.3,0.200
Tortilja,296,56.0,5.20,2.40,7.60,29.3,1.70
Trühvlikomm,543,45.0,37.7,3.77,4.18,10.0,38.2
Tšiiaseemned,466,34.6,33.9,34.4,22.9,3.80,0
Tšillipipar,47.8,9.50,0.200,0,2.00,87.7,0
Tuhksuhkur,399,99.8,0,0,0,0.230,97.8
Tume šokolaad,536,39.1,41.0,21.1,13.0,2.58,9.90
Tursk,107,0,0.695,0,25.3,72.5,0
Tüümian,120,27.4,2.50,12.3,3.00,63.9,0.600
Tuunikala,189,0,9.90,0,24.9,63.4,0
Tuur,126,0,5.00,0,20.1,73.5,0
Ürdisool,0,0,0,0,0,7.10,0
Vaarikad,42.0,9.60,0.800,3.70,1.000,88.2,5.40
Vaarikakompott,78.8,19.3,0.360,1.66,0.450,79.7,17.4
Vaarikamoos,189,46.6,0.560,2.59,0.700,51.8,43.7
Vaarika-mustsõstratoormoos,102,25.5,0.520,3.98,0.890,72.6,20.8
Vadakupulber,373,78.0,1.30,0,12.2,8.50,78.0
Vähk,233,0,1.85,0,54.1,39.6,0
Vahtrasiirup,243,60.4,0.100,0,0,39.0,60.4
Vahukommid,348,83.1,0,0,3.90,12.7,64.5
Vahukoor,345,3.00,36.0,0,2.30,58.2,3.00
Valge kala,148,0,1.10,0,34.5,52.8,0
Valge rõigas,18.9,4.50,0.100,1.60,0.800,94.0,2.90
Valge šokolaad,587,52.4,39.3,0,6.00,0.830,51.8
Valged sõstrad,52.5,12.9,1.10,6.70,1.10,84.3,5.91
Valgehallitusjuust,353,0.700,30.0,0,20.0,46.2,0
Vaniljeekstrakt ,291,12.6,0,0,0,52.7,12.6
Vanilli-koorejäätis,196,24.8,10.00,0.820,2.20,62.4,24.0
Vanillisuhkur,400,99.9,0,0,0,0.100,99.9
Varsseller,18.0,4.60,0.200,2.50,1.10,93.0,1.10
Vasikaliha,207,0,10.7,0,27.6,60.2,0
Vasikamaks,115,1.90,3.30,0,19.4,73.9,0
Vein,68.5,0.300,0,0,0.200,89.7,0.160
Veisehakkliha,344,0,26.9,0,25.4,46.0,0
Veisekeel,194,0,14.0,0,17.0,68.0,0
Veiseliha,173,0,5.75,0,30.4,62.5,0
Veiserasv,900,0,100.0,0,0,0,0
Verikäkk,431,42.3,22.8,4.92,16.5,16.1,0.895
Verivorst,254,19.8,14.2,2.17,12.8,50.0,0.455
Vesi,0,0,0,0,0,100.0,0
Vetikalehed,225,44.4,1.50,44.4,30.7,23.4,0
Viigimarjad,253,62.9,0.930,9.80,3.30,31.0,47.9
Viin,224,0,0,0,0,68.0,0
Viinamarjad,72.0,17.3,0.400,1.60,0.600,81.3,15.0
Viinamarjamahl,66.1,16.0,0.100,0,0.300,83.3,16.0
Viinamarjanektar,62.8,15.7,0,0,0,84.1,15.7
Viinamarjaseemneõli,900,0,100.0,0,0,0,0
Viiner,262,7.50,20.5,0.100,12.0,57.2,2.40
Vikerforell,214,0,12.5,0,25.2,59.6,0
Virsik,42.4,10.1,0.100,1.40,1.20,88.1,8.20
Virsikunektar,56.2,14.1,0,0.600,0.300,85.5,13.3
Viski,246,0,0,0,0,64.7,0
Või,744,0.900,82.0,0,0.600,15.3,0.900
Vürtsikilu,219,0,13.1,0,25.2,51.7,0
Vutiliha,197,0,9.60,0,27.7,61.4,0
Vutimuna,152,0,11.1,0,12.9,74.9,0
Želatiin,345,0,0.100,0,86.0,12.6,0
